,City,Latitude,Longitude,Max Temperature,Humidity,Wind Speed,Country,Date
0,Pacific Grove,36.62,-121.92,55.4,93,4.32,US,1605340020
1,Zaozyornoye,45.16,33.28,51.31,70,11.34,UA,1605340021
2,Cape Town,-33.93,18.42,69.01,59,11.41,ZA,1605339813
3,Kargasok,59.06,80.86,20.26,96,6.13,RU,1605340023
4,Bluff,-46.6,168.33,60.01,80,8.1,NZ,1605339981
5,Nikolskoye,59.7,30.79,34.0,86,4.47,RU,1605340024
6,Loreto,22.27,-101.97,53.98,55,2.42,MX,1605340026
7,East London,-33.02,27.91,75.2,44,9.17,ZA,1605340027
8,Ushuaia,-54.8,-68.3,35.6,93,29.97,AR,1605339708
9,Nianzishan,47.52,122.88,38.59,64,3.51,CN,1605340030
